//设置格式：物品名称|价格模式|拆分数量|打折比例。
//金币具体价格：必须包含[金][银][铜]3个字，元宝具体价格：必须包含[元宝]2个字。
//价格模式分6种：[金币]具体价格,[金币]平均价格,[金币]最低价格,[元宝]具体价格,[元宝]平均价格,[元宝]最低价格。
九宫盒|[金币]最低价格|不拆|90
龙纹|[金币]最低价格|不拆|90
御瑶盘|[金币]7金0银0铜|不拆|90
琉璃焰|[金币]7金0银0铜|不拆|90
七彩鹿|[金币]最低价格|不拆|90
百宝书匣|[金币]最低价格|不拆|90
典籍残页|[金币]最低价格|不拆|90
牦牛角|[金币]最低价格|不拆|90
紫竹箭|[金币]最低价格|不拆|90
玉犀角|[金币]最低价格|不拆|90
湘妃箭|[金币]最低价格|不拆|90
麟木箭|[金币]最低价格|不拆|90
玄昊玉|[金币]最低价格|不拆|90
浚云之角|[金币]最低价格|不拆|90
落星之箭|[金币]最低价格|不拆|90
飞瀑之角|[金币]最低价格|不拆|90
彩虹之箭|[金币]最低价格|不拆|90
若水之角|[金币]最低价格|不拆|90
列阵飞箭|[金币]最低价格|不拆|90
稀世珍宝图|[金币]最低价格|不拆|90
武魂延寿丹|[金币]最低价格|不拆|90
绛麻衣|[金币]最低价格|不拆|90
虎皮裘|[金币]最低价格|不拆|90
百结衣|[金币]最低价格|不拆|90
乌蚕衣|[金币]最低价格|不拆|90
棉僧衣|[金币]最低价格|不拆|90
鹿皮裘|[金币]最低价格|不拆|90
玄铁甲|[金币]最低价格|不拆|90
七宝云袍|[金币]最低价格|不拆|90
锦绸衣|[金币]最低价格|不拆|90
貂皮裘|[金币]最低价格|不拆|90
御龙袍|[金币]最低价格|不拆|90
金丝宝甲|[金币]最低价格|不拆|90
绢丝衣|[金币]最低价格|不拆|90
玄狐裘|[金币]最低价格|不拆|90
玉女纱衣|[金币]最低价格|不拆|90
软猬甲|[金币]最低价格|不拆|90
哭丧棒|[金币]最低价格|不拆|90
鹿头短杖|[金币]最低价格|不拆|90
韦陀杵|[金币]最低价格|不拆|90
打狗棒|[金币]最低价格|不拆|90
雁翎刀|[金币]最低价格|不拆|90
修罗刀|[金币]最低价格|不拆|90
圆月弯刀|[金币]最低价格|不拆|90
屠龙刀|[金币]最低价格|不拆|90
松纹剑|[金币]最低价格|不拆|90
真武剑|[金币]最低价格|不拆|90
吴钩剑|[金币]最低价格|不拆|90
倚天剑|[金币]最低价格|不拆|90
娥眉刺|[金币]最低价格|不拆|90
红丝绣针|[金币]最低价格|不拆|90
银丝手套|[金币]最低价格|不拆|90
越女剑|[金币]最低价格|不拆|90
灵鳌步|[金币]最低价格|不拆|90
壁虎游墙|[金币]最低价格|不拆|90
瞬息千里|[金币]最低价格|不拆|90
神行百变|[金币]最低价格|不拆|90
一苇渡江|[金币]最低价格|不拆|90
踏雪无痕|[金币]最低价格|不拆|90
凭虚临风|[金币]最低价格|不拆|90
逍遥游|[金币]最低价格|不拆|90
草上飞|[金币]最低价格|不拆|90
金雁功|[金币]最低价格|不拆|90
